Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Phaedrus 2,miscellaneous,0.00235,0.00308,0.00054,0.00127,0,0.00054,0.00018,0.00036,0,0,0,0.00054,0,0.00163,0.00217,0.00181,0.00109,0.00018,0,0.25806,25.1,0.00018,0.00072,0.00942,0,82.40299
Phaedrus 3,miscellaneous,0.00434,0.00442,0.00084,0.00114,0.00015,0.00053,0.0003,0.00023,0.00008,0,0,0.00053,0,0.00183,0.00206,0.00122,0.00152,0.00023,0,0.37654,25.22667,0.00061,0.00091,0.0093,0.00008,72.49171
Phaedrus 4,miscellaneous,0.00313,0.00486,0.00051,0.00141,0.00019,0.00038,0.00045,0.00026,0,0,0,0.00064,0,0.00198,0.00083,0.00166,0.00109,0.00032,0.00006,0.39024,26.04301,0.00019,0.00109,0.00985,0.00006,86.37017
Phaedrus 5,miscellaneous,0.00106,0.00459,0.00106,0.00194,0.00035,0.00018,0.00106,0.00035,0,0,0,0.00053,0.00018,0.00106,0.00071,0.00141,0.00035,0,0,0.41558,25.26316,0.00035,0.00053,0.00848,0,71.65823
Phaedrus Appendix,miscellaneous,0.00382,0.00413,0.00046,0.00176,0.00031,0.00023,0.00038,0.00015,0,0,0,0.00023,0.00008,0.00161,0.00145,0.00268,0.0013,0.00008,0,0.34965,28.59375,0.00031,0.00122,0.0094,0,82.79747
Plautus Amphitruo,drama,0.0138,0.00915,0.00004,0.00091,0.00036,0.00036,0.00019,0.00036,0.00006,0,0,0.00023,0.00045,0.00284,0.00223,0.0025,0.00543,0.00006,0.00004,0.25034,24.85957,0.00025,0.00025,0.01144,0,48.07959
Plautus Asinaria,drama,0.01431,0.00793,0,0.00093,0.00062,0.00049,0.00044,0.00034,0.0001,0,0,0.00029,0.0006,0.00257,0.00306,0.00241,0.0056,0.00018,0.00008,0.22661,21.48205,0.00036,0.00039,0.00954,0.0001,43.14206
Plautus Aulularia,drama,0.01617,0.00896,0,0.00068,0.0004,0.00028,0.00012,0.00018,0.00012,0,0,0.00012,0.00055,0.00262,0.00256,0.00253,0.00523,0.00015,0.00009,0.23211,24.54268,0.00018,0.00025,0.01105,0.00009,43.94452
Plautus Bacchides,drama,0.01368,0.01016,0.00002,0.00071,0.00029,0.00027,0.00021,0.00025,0.0001,0,0,0.00033,0.00031,0.00292,0.002,0.00246,0.00644,0.00013,0.00013,0.20882,23.68919,0.00017,0.00042,0.00995,0.00023,41.08655
Plautus Captivi,drama,0.01527,0.01055,0,0.00087,0.00058,0.00048,0.00031,0.00019,0.00005,0,0.00002,0.00019,0.00036,0.00253,0.00248,0.00337,0.00409,0.00017,0.00014,0.26708,23.42241,0.00034,0.00031,0.0125,0,51.20838
Plautus Casina,drama,0.01535,0.00946,0.00009,0.00088,0.00046,0.0002,0.00011,0.00017,0.00003,0,0,0.00043,0.00085,0.00251,0.00219,0.00219,0.00638,0.0002,0.00023,0.16595,22.25342,0.00011,0.00026,0.01102,0.00009,38.54007
Plautus Cistellaria,drama,0.01498,0.01328,0.00045,0.00113,0.0004,0.00061,0.00016,0.00032,0,0,0,0.00008,0.00032,0.00211,0.00239,0.00247,0.00397,0.00016,0.00008,0.21008,22.9058,0.0002,0.00016,0.01138,0.00008,43.3193
Plautus Curculio,drama,0.01738,0.00865,0,0.00077,0.00077,0.00028,0.00035,0.00017,0.0001,0,0,0.00059,0.00052,0.00234,0.00248,0.00269,0.00667,0.00028,0.00021,0.20135,21.03497,0.00024,0.00014,0.01015,0.0001,36.88031
Plautus Epidicus,drama,0.01473,0.01069,0,0.00082,0.00039,0.00053,0.00043,0.0001,0.00016,0,0,0.00033,0.00039,0.0022,0.00204,0.00309,0.00714,0.00007,0.0001,0.20474,24.18543,0.0002,0.00023,0.00964,0,37.81965
Plautus Menaechmi,drama,0.01633,0.00924,0.00011,0.00078,0.00025,0.00031,0.00025,0.00031,0.00004,0,0,0.00036,0.00058,0.00244,0.00195,0.00248,0.00716,0.00045,0.00018,0.20782,21.07907,0.00016,0.00013,0.01047,0.00009,39.71137
Plautus Mercator,drama,0.01374,0.00925,0.00007,0.00082,0.0004,0.00045,0.0001,0.00032,0.0001,0,0,0.00035,0.00102,0.00257,0.00239,0.00195,0.00696,0.00017,0.00007,0.18642,20.04469,0.00025,0.00012,0.00968,0.00002,36.99077
Plautus Miles Gloriosus,drama,0.01378,0.01076,0.00007,0.00108,0.00052,0.00045,0.00025,0.00038,0.00012,0,0,0.00048,0.00057,0.00225,0.00262,0.0029,0.00528,0.00015,0.00012,0.19643,22.21091,0.00028,0.0001,0.01173,0.0001,43.48841
Plautus Mostellaria,drama,0.01426,0.00904,0.00002,0.0008,0.00096,0.00049,0.00009,0.00013,0.00009,0,0,0.0002,0.00058,0.00216,0.00194,0.00207,0.00755,0.00022,0.00004,0.14316,22.08434,0.0002,0.00011,0.0094,0.00007,34.82933
Plautus Persa,drama,0.0167,0.00967,0.00003,0.00043,0.00026,0.00023,0.00026,0.00017,0.00003,0,0,0.00031,0.00074,0.00285,0.00233,0.00219,0.00677,0.00003,0.00017,0.17132,20.53704,0.00006,0.00011,0.01121,0.00009,34.39237
Plautus Poenulus,drama,0.01344,0.00964,0.00002,0.00091,0.00031,0.00031,0.00026,0.00015,0.00013,0,0,0.00026,0.00031,0.00216,0.00232,0.00254,0.00542,0.00016,0.00015,0.17539,21.32751,0.00018,0.00009,0.01021,0.00015,39.70123
Plautus Pseudolus,drama,0.0155,0.00978,0.00002,0.00055,0.00038,0.00055,0.00027,0.00013,0.00011,0,0,0.00034,0.00047,0.00289,0.00262,0.00213,0.00665,0.00019,0.00025,0.19048,21.33193,0.00013,0.00011,0.01096,0.00006,41.54144
Plautus Rudens,drama,0.01381,0.00952,0.00002,0.00066,0.00063,0.00029,0.00013,0.00013,0.00007,0,0,0.00056,0.0003,0.0024,0.0026,0.00244,0.00608,0.00029,0.00005,0.1938,24.4549,0.0002,0.00022,0.0101,0.00013,40.85495
Plautus Stichus,drama,0.01391,0.00854,0,0.00072,0.00016,0.00052,0.00029,0.0002,0.00007,0,0.00003,0.00029,0.00043,0.00229,0.00193,0.00272,0.00501,0.00016,0.00007,0.18149,22.83333,0.00023,0.00003,0.01021,0.00016,42.96062
Plautus Trinummus,drama,0.01332,0.01062,0.00006,0.00076,0.00047,0.00055,0.00038,0.00015,0.00008,0,0,0.00027,0.00051,0.00228,0.00298,0.00281,0.00516,0.00017,0.00023,0.26575,21.171,0.00011,0.00011,0.01125,0.00013,48.84298
Plautus Truculentus,drama,0.01367,0.00861,0,0.00087,0.00074,0.00054,0.00015,0.00033,0.00013,0,0,0.00069,0.00026,0.00215,0.00208,0.0032,0.00631,0.0001,0.00008,0.24701,21.22747,0.00015,0.00028,0.01044,0.00005,42.90759
