Ancient Greek Verse Data
Code Repo: https://github.com/QuantitativeCriticismLab/greek-genre-classification.git,Corpus: https://github.com/timgianitsos/tesserae.git,Code commit: 42fe37028967abbe15270d3e021bcfb3848ecdc8,Corpus commit: 60a0b5c14f1ecc6269607eb9f426d7e8abb92fd0,Project: https://www.qcrit.org,Author: Tim Gianitsos,Note: Frequencies are per-character
file name,freq_allos,freq_autos,freq_circumstantial_markers,freq_conditional_markers,freq_conjunction,freq_demonstrative,freq_hina,freq_hopos,freq_indefinite_pronoun_in_non_interrogative_sentence,freq_interrogatives,freq_men,freq_particles,freq_personal_pronouns,freq_reflexive,freq_sentence_with_relative_clause,freq_sentences_with_vocative_omega,freq_superlative,freq_temporal_causal_markers,freq_ws,freq_wste_not_preceded_by_eta,mean_length_relative_clause,mean_sentence_length,variance_of_sentence_length
aeschylus.agamemnon.tess,0.00039270286673092714,0.00030345221520117096,0.00012495091214165865,0.0007318553425440005,0.005122987397808004,0.003516475670272393,0.0,0.0001606511727535611,0.000736226430528856,0.1715686274509804,0.0011602584698868301,0.009299917889400593,0.002927421370176002,3.570026061190247e-05,0.03431372549019608,0.016339869281045753,0.0001606511727535611,0.000535503909178537,0.0009460569062154153,0.00012495091214165865,34.18181818181818,91.53921568627452,5690.66022683584
aeschylus.eumenides.tess,0.0001965519177851407,0.00044926152636603583,0.0002807884539787724,0.0003931038355702814,0.0076374459482226095,0.004408378727466727,0.0,0.00016847307238726343,0.0007233273056057866,0.141439205955335,0.0008423653619363172,0.008311338237771663,0.003959117201100691,0.0,0.052109181141439205,0.02977667493796526,0.00022463076318301792,0.0003088672993766496,0.0007581288257426854,8.423653619363172e-05,34.68181818181818,88.37220843672456,4667.3453318473785
aeschylus.libation_bearers.tess,0.00040756439517443757,0.0007064449516356918,0.00016302575806977502,0.0004347353548527334,0.006059124008259972,0.004211498750135855,0.0,0.00019019671774807086,0.0007263123142951469,0.20681818181818182,0.0010324964677752419,0.009210955330942289,0.0032333442017172045,2.7170959678295838e-05,0.031818181818181815,0.06363636363636363,0.00016302575806977502,0.00046190631453102925,0.0008694707097054668,5.4341919356591676e-05,36.57142857142857,83.64545454545454,4639.928842975209
aeschylus.persians.tess,0.00036657925161435865,0.0005357696754363703,0.00019738882779234696,0.00031018244367368806,0.007275188224346502,0.0025096579533598396,0.0,8.459521191100583e-05,0.0007077358606683488,0.13445378151260504,0.0011843329667540817,0.008628711614922596,0.002002086681893805,2.819840397033528e-05,0.06162464985994398,0.056022408963585436,0.00016919042382201166,0.000507571271466035,0.0010433409469024052,0.00011279361588134111,40.52,99.33613445378151,7545.102699903492
aeschylus.prometheus_bound.tess,0.00032703579784156375,0.0009056375940227918,0.0001257829991698322,0.0004779753968453624,0.006968378154008704,0.0031697315790797714,0.0001257829991698322,0.0002767225981736309,0.0008742737887077669,0.19325842696629214,0.0007043847953510604,0.008100425146537193,0.0054589821639707175,0.00022640939850569796,0.12359550561797752,0.029213483146067417,2.515659983396644e-05,0.000628914995849161,0.0008301677945208926,7.546979950189933e-05,35.516666666666666,89.32808988764044,5031.910334553718
aeschylus.seven_against_thebes.tess,0.0003675742924194871,0.0005937738569853253,0.00016964967342437867,0.00033929934684875734,0.006531512426838578,0.002686119829219329,5.654989114145955e-05,2.8274945570729776e-05,0.0006767148569670871,0.13019390581717452,0.0006220488025560551,0.008567308507931122,0.001894421353238895,0.0,0.08310249307479224,0.05263157894736842,0.00028274945570729774,0.00033929934684875734,0.0006220488025560551,5.654989114145955e-05,35.85294117647059,97.96952908587258,6413.325941329484
aeschylus.suppliant_women.tess,0.00029680636352843407,0.00017808381811706042,8.904190905853021e-05,0.0006826546361153983,0.006440698088567019,0.0033242312715184613,2.9680636352843406e-05,0.00023744509082274725,0.0007727975270479134,0.13095238095238096,0.000801377181526772,0.009527484269262733,0.0028790217262258102,0.0,0.0380952380952381,0.023809523809523808,0.00026712572717559063,0.0003858482725869643,0.0008904190905853021,2.9680636352843406e-05,43.25,80.21904761904761,4099.0615419501155
apollonius.argonautica.part.1.tess,0.0005736868944416114,0.0009561448240693524,0.00025497195308516065,0.0003983936766955635,0.00715515043345232,0.0002709077001529832,0.00011155022947475777,1.593574706782254e-05,0.00037906256180367855,0.03807106598984772,0.0016891891891891893,0.011601223865374809,0.0006374298827129016,0.0,0.18274111675126903,0.0025380710659898475,0.00019122896481387047,0.0006533656297807241,0.00038245792962774094,1.593574706782254e-05,41.975,159.26903553299493,8593.501223942903
apollonius.argonautica.part.2.tess,0.0003694126339120798,0.0010746549350169594,0.0003190381838331598,0.0005037445007891997,0.007388252678241596,0.0005541189508681197,0.00013433186687711993,3.358296671927998e-05,0.0004959469165783083,0.03194103194103194,0.0013433186687711993,0.011334251267756994,0.0006044934009470397,3.358296671927998e-05,0.14250614250614252,0.007371007371007371,0.0002854552171138798,0.0007556167511837996,0.00035262115055243983,6.716593343855997e-05,41.32857142857143,146.32432432432432,7623.167541005386
apollonius.argonautica.part.3.tess,0.0006106776995771057,0.0013434909390696325,0.0002595380223202699,0.0007022793545136716,0.007358666279904124,0.0006870124120242439,0.00013740248240484877,6.106776995771058e-05,0.0006448180806989828,0.06621004566210045,0.0012976901116013497,0.01262576143875666,0.001190821514175356,0.0,0.1506849315068493,0.00228310502283105,0.00019847025236255936,0.0008244148944290927,0.00030533884978855284,4.580082746828293e-05,39.859154929577464,149.5456621004566,7518.919147849291
