Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Seneca The Elder Controversiae Part 10,oratory,0.00419,0.00766,0.00031,0.00079,0.00087,0.00051,0.00054,0.00033,0,0.00002,0.00002,0.00019,0.00005,0.00133,0.00274,0.00309,0.00293,0.00056,0.00002,0.30303,27.63123,0.00052,0.00073,0.00939,0.00009,63.99553
Seneca The Elder Controversiae Part 2,oratory,0.00449,0.00684,0.00022,0.00083,0.0006,0.0004,0.00042,0.00014,0,0.00007,0,0.00013,0.00003,0.0016,0.00226,0.00312,0.00306,0.00043,0.00003,0.31882,27.32678,0.00059,0.00085,0.0089,0,66.65481
Seneca The Elder Controversiae Part 7,oratory,0.00418,0.00652,0.00041,0.00092,0.00048,0.00046,0.00041,0.00034,0,0.00005,0,0.00013,0.00003,0.00137,0.002,0.00305,0.00275,0.00044,0,0.3,25.75529,0.00071,0.0008,0.00871,0.00004,62.32912
Seneca The Elder Controversiae Part 8,oratory,0.0042,0.00707,0.00024,0.00097,0.00068,0.00042,0.00058,0.0004,0.00002,0,0.00003,0.00042,0.00002,0.00162,0.00192,0.00349,0.00288,0.00034,0,0.30489,28.39222,0.00037,0.00092,0.00912,0.00002,63.43077
Seneca The Elder Excerpta Controversiae,oratory,0.00395,0.00527,0.00057,0.00094,0.00053,0.00034,0.00044,0.00017,0.00002,0.00006,0,0.00024,0.00001,0.00169,0.00219,0.00318,0.00251,0.00033,0.00002,0.2639,23.6539,0.00051,0.00065,0.00796,0.00004,52.48793
Seneca The Elder Fragmenta,oratory,0.0013,0.0039,0.0026,0.0013,0,0,0.0013,0.0013,0,0,0,0,0,0.0013,0.0026,0.0013,0,0,0,0.125,35,0,0,0.02468,0,96.25
Seneca The Elder Suasoriae,oratory,0.00279,0.00679,0.00021,0.00074,0.00041,0.00059,0.00088,0.00029,0,0.00003,0,0.00002,0.00007,0.00178,0.00185,0.00298,0.00172,0.00083,0.00007,0.35584,32.1162,0.00076,0.00078,0.0105,0.00014,90.03882
Suetonius De Vita Caesarum Part 1 Julius,history,0.00013,0.00289,0.00056,0.00165,0.00002,0.00051,0.00051,0.00041,0.00002,0.00002,0,0.00012,0.00008,0.00159,0.00069,0.00511,0.00008,0.00111,0.0002,0.5565,38.83007,0.0004,0.00056,0.01575,0,168.50975
Suetonius De Vita Caesarum Part 10 Vespasian,history,0.0001,0.00319,0.001,0.00164,0,0.00035,0.00055,0.00015,0.00005,0.00005,0,0.00015,0.00005,0.00169,0.0005,0.00503,0.00005,0.00115,0.00015,0.44355,41.44776,0.00035,0.00055,0.01625,0,160.504
Suetonius De Vita Caesarum Part 11 Titus,history,0,0.00239,0.00044,0.00196,0,0.00033,0.00044,0.00076,0.00011,0,0,0.00022,0.00022,0.00196,0.00065,0.00479,0,0.00163,0.00011,0.5283,37.37209,0.00022,0.00033,0.01938,0,173.32075
Suetonius De Vita Caesarum Part 12 Domitian,history,0.00018,0.00253,0.0004,0.00178,0,0.00027,0.00067,0.00027,0.00009,0,0,0.00018,0.00013,0.00173,0.0004,0.00475,0.00004,0.00124,0.00013,0.54745,39.83636,0.00009,0.0004,0.01656,0,163.23913
Suetonius De Vita Caesarum Part 2 Augustus,history,0.00041,0.00294,0.00053,0.00157,0.00002,0.00054,0.0005,0.00032,0.00009,0,0.00001,0.00011,0.00004,0.00171,0.00073,0.00507,0.00012,0.00072,0.00018,0.45238,39.14085,0.00034,0.00048,0.01865,0.00001,152.79783
Suetonius De Vita Caesarum Part 3 Tiberius,history,0.00069,0.00282,0.00072,0.00203,0.00002,0.00035,0.00049,0.00016,0.00005,0,0.00004,0.00011,0.00019,0.00201,0.00079,0.00521,0.00005,0.00079,0.00018,0.49459,41.67188,0.00033,0.0006,0.01696,0,152.24933
Suetonius De Vita Caesarum Part 4 Caligula,history,0.00012,0.0026,0.00054,0.00181,0.00002,0.00031,0.00043,0.00027,0.00008,0.00002,0.00002,0.00004,0.00014,0.00171,0.00062,0.00501,0.00006,0.00105,0.00016,0.45791,42.52577,0.00047,0.00047,0.01751,0,161.81333
Suetonius De Vita Caesarum Part 5 Claudius,history,0.0004,0.00271,0.0008,0.00177,0,0.00022,0.00065,0.00022,0,0,0,0.00005,0.00012,0.00157,0.00085,0.00574,0.00012,0.00075,0.00012,0.43066,36.46386,0.00042,0.0007,0.01745,0,144.16129
Suetonius De Vita Caesarum Part 6 Nero,history,0.00016,0.00277,0.00068,0.00172,0.00002,0.00036,0.0005,0.00024,0.00006,0,0,0.00008,0.00012,0.00198,0.00046,0.00475,0.0001,0.00088,0.00026,0.44554,40.77957,0.00036,0.00038,0.01716,0,161.98701
Suetonius De Vita Caesarum Part 7 Galba,history,0.00022,0.00331,0.00034,0.00123,0,0.00011,0.0005,0.00022,0,0,0,0,0.00011,0.00202,0.00039,0.00454,0.00011,0.00095,0.00011,0.51,44.31507,0.00022,0.00034,0.01637,0,174.87255
Suetonius De Vita Caesarum Part 8 Otho,history,0,0.00291,0.00068,0.00165,0,0.00049,0.00049,0.00039,0.0001,0,0,0,0.00019,0.00204,0.00058,0.00466,0.0001,0.00107,0.0001,0.49153,36.08108,0.0001,0.00049,0.01778,0,171.53333
Suetonius De Vita Caesarum Part 9 Vitellius,history,0.00013,0.00272,0.0008,0.00146,0,0.00066,0.00053,0.0006,0,0,0,0,0.00007,0.00153,0.00046,0.00545,0,0.00093,0.00033,0.44444,41.92308,0.0004,0.0006,0.0168,0,185.87654
